affiliation	url	ror_results	chosen	score	matching_type	organization.name	organization.id	organization.country.country_name
Higher School of Economics, Russian Federation	https://api.ror.org/organizations?affiliation=Higher+School+of+Economics,+Russian+Federation	13	FALSE	0.64	PHRASE	Central Bank of the Russian Federation	https://ror.org/04qwk9b58	Russia
Hiroshima University, Hiroshima	https://api.ror.org/organizations?affiliation=Hiroshima+University,+Hiroshima	20	TRUE	1	PHRASE	Hiroshima University	https://ror.org/03t78wx29	Japan
Hitotsubashi University, Japan	https://api.ror.org/organizations?affiliation=Hitotsubashi+University,+Japan	7	TRUE	1	PHRASE	Hitotsubashi University	https://ror.org/04jqj7p05	Japan
Hong Kong University of Science and Technology, Hong Kong	https://api.ror.org/organizations?affiliation=Hong+Kong+University+of+Science+and+Technology,+Hong+Kong	18	TRUE	1	PHRASE	Hong Kong University of Science and Technology	https://ror.org/00q4vv597	China
Humboldt Universität zu Berlin	https://api.ror.org/organizations?affiliation=Humboldt+Universitat+zu+Berlin	16	TRUE	1	PHRASE	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	Germany
Humboldt Universität, Germany	https://api.ror.org/organizations?affiliation=Humboldt+Universitat,+Germany	7	FALSE	0.83	COMMON TERMS	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	Germany
Humboldt University Berlin	https://api.ror.org/organizations?affiliation=Humboldt+University+Berlin	18	FALSE	0.89	COMMON TERMS	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	Germany
Humboldt University Berlin, Berlin	https://api.ror.org/organizations?affiliation=Humboldt+University+Berlin,+Berlin	29	FALSE	0.89	COMMON TERMS	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	Germany
Humboldt University Berlin, Germany	https://api.ror.org/organizations?affiliation=Humboldt+University+Berlin,+Germany	11	FALSE	0.89	COMMON TERMS	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	Germany
Humboldt University of Berlin	https://api.ror.org/organizations?affiliation=Humboldt+University+of+Berlin	18	FALSE	0.89	HEURISTICS	SRH University Berlin	https://ror.org/01prjcc04	Germany
Humboldt University of Berlin, Germany	https://api.ror.org/organizations?affiliation=Humboldt+University+of+Berlin,+Germany	9	FALSE	0.89	HEURISTICS	SRH University Berlin	https://ror.org/01prjcc04	Germany
Humboldt University, Berlin	https://api.ror.org/organizations?affiliation=Humboldt+University,+Berlin	24	FALSE	0.89	COMMON TERMS	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	Germany
Humboldt University, Germany	https://api.ror.org/organizations?affiliation=Humboldt+University,+Germany	5	FALSE	0.77	COMMON TERMS	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	Germany
Humboldt-Universität zu Berlin	https://api.ror.org/organizations?affiliation=Humboldt-Universitat+zu+Berlin	16	TRUE	1	PHRASE	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	Germany
Humboldt-Universität zu Berlin, Berlin	https://api.ror.org/organizations?affiliation=Humboldt-Universitat+zu+Berlin,+Berlin	21	TRUE	1	PHRASE	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	Germany
Humboldt-Universität zu Berlin, Germany	https://api.ror.org/organizations?affiliation=Humboldt-Universitat+zu+Berlin,+Germany	10	TRUE	1	PHRASE	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	Germany
Humboldt-Universität zu Berlin, Germany. Humboldt University of Berlin, Germany	https://api.ror.org/organizations?affiliation=Humboldt-Universitat+zu+Berlin,+Germany.+Humboldt+University+of+Berlin,+Germany	17	TRUE	1	PHRASE	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	Germany
Humboldt-Universität, Germany	https://api.ror.org/organizations?affiliation=Humboldt-Universitat,+Germany	7	TRUE	1	PHRASE	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	Germany
Hungarian Academy of Sciences, Hungary	https://api.ror.org/organizations?affiliation=Hungarian+Academy+of+Sciences,+Hungary	8	TRUE	1	PHRASE	Hungarian Academy of Sciences	https://ror.org/02ks8qq67	Hungary
IAB Nurnberg	https://api.ror.org/organizations?affiliation=IAB+Nurnberg	13	FALSE	0.9	ACRONYM	Institut für Angewandte Bauforschung Weimar	https://ror.org/012yg6072	Germany
IAST, Toulouse	https://api.ror.org/organizations?affiliation=IAST,+Toulouse	17	FALSE	0.85	COMMON TERMS	Institut National des Sciences Appliquées de Toulouse	https://ror.org/01h8pf755	France
IBEI, Spain	https://api.ror.org/organizations?affiliation=IBEI,+Spain	1	TRUE	1	ACRONYM	Institut Barcelona d'Estudis Internacionals	https://ror.org/05rke5d69	Spain
IE School of Global and Public Affairs, Spain	https://api.ror.org/organizations?affiliation=IE+School+of+Global+and+Public+Affairs,+Spain	6	FALSE	0.52	COMMON TERMS	Instituto Geológico y Minero de España	https://ror.org/04cadha73	Spain
IE University	https://api.ror.org/organizations?affiliation=IE+University	20	TRUE	1	PHRASE	IE University	https://ror.org/02jjdwm75	Spain
IE University Madrid	https://api.ror.org/organizations?affiliation=IE+University+Madrid	20	TRUE	1	HEURISTICS	IE University	https://ror.org/02jjdwm75	Spain
IE University Madrid, Spain	https://api.ror.org/organizations?affiliation=IE+University+Madrid,+Spain	12	TRUE	1	HEURISTICS	IE University	https://ror.org/02jjdwm75	Spain
IE University, School of Global & Public Affairs	https://api.ror.org/organizations?affiliation=IE+University,+School+of+Global+&+Public+Affairs	34	TRUE	1	PHRASE	IE University	https://ror.org/02jjdwm75	Spain
IE University, Spain	https://api.ror.org/organizations?affiliation=IE+University,+Spain	7	TRUE	1	PHRASE	IE University	https://ror.org/02jjdwm75	Spain
IIES, Stockholm University, Sweden	https://api.ror.org/organizations?affiliation=IIES,+Stockholm+University,+Sweden	15	TRUE	1	PHRASE	Stockholm University	https://ror.org/05f0yaq80	Sweden
IMF, USA	https://api.ror.org/organizations?affiliation=IMF,+USA	2	FALSE	1	ACRONYM	International Monetary Fund	https://ror.org/05m4rmw09	United States
Independent Researcher, USA	https://api.ror.org/organizations?affiliation=Independent+Researcher,+USA	16	FALSE	0.8	COMMON TERMS	Independent Sector	https://ror.org/05vhwqa91	United States
Indiana University, USA	https://api.ror.org/organizations?affiliation=Indiana+University,+USA	14	TRUE	1	PHRASE	Indiana University	https://ror.org/01kg8sb98	United States
INRAE	https://api.ror.org/organizations?affiliation=INRAE	1	TRUE	0.9	ACRONYM	National Research Institute for Agriculture, Food and Environment	https://ror.org/003vg9w96	France
Insitute for Advanced Studies, Austria	https://api.ror.org/organizations?affiliation=Insitute+for+Advanced+Studies,+Austria	1	FALSE	0.67	FUZZY	Institut für Höhere Studien - Institute for Advanced Studies	https://ror.org/05ag62t55	Austria
Instit. Barcelona d'Estudis Internationale, Spain	https://api.ror.org/organizations?affiliation=Instit.+Barcelona+d'Estudis+Internationale,+Spain	12	TRUE	0.93	COMMON TERMS	Institut Barcelona d'Estudis Internacionals	https://ror.org/05rke5d69	Spain
Institut Barcelona d'Estudis Internacionals	https://api.ror.org/organizations?affiliation=Institut+Barcelona+d'Estudis+Internacionals	17	TRUE	1	PHRASE	Institut Barcelona d'Estudis Internacionals	https://ror.org/05rke5d69	Spain
Institut Barcelona d'Estudis Internacionals (IBEI), Spain	https://api.ror.org/organizations?affiliation=Institut+Barcelona+d'Estudis+Internacionals+(IBEI),+Spain	11	TRUE	1	COMMON TERMS	Institut Barcelona d'Estudis Internacionals	https://ror.org/05rke5d69	Spain
Institut Barcelona d'Estudis Internacionals, Barcelona	https://api.ror.org/organizations?affiliation=Institut+Barcelona+d'Estudis+Internacionals,+Barcelona	27	TRUE	1	PHRASE	Institut Barcelona d'Estudis Internacionals	https://ror.org/05rke5d69	Spain
Institut Barcelona d'Estudis Internacionals, Spain. IBEI, Spain	https://api.ror.org/organizations?affiliation=Institut+Barcelona+d'Estudis+Internacionals,+Spain.+IBEI,+Spain	17	TRUE	1	PHRASE	Institut Barcelona d'Estudis Internacionals	https://ror.org/05rke5d69	Spain
Institute for Advanced Studies, Austria	https://api.ror.org/organizations?affiliation=Institute+for+Advanced+Studies,+Austria	1	FALSE	0.68	FUZZY	Institut für Höhere Studien - Institute for Advanced Studies	https://ror.org/05ag62t55	Austria
Institute for Advanced Studies, Vienna	https://api.ror.org/organizations?affiliation=Institute+for+Advanced+Studies,+Vienna	26	TRUE	1	PHRASE	EarthTech International (United States)	https://ror.org/01mjdf856	United States
Institute for Advanced Study in Toulouse (IAST)	https://api.ror.org/organizations?affiliation=Institute+for+Advanced+Study+in+Toulouse+(IAST)	16	TRUE	1	COMMON TERMS	Institute for Advanced Study	https://ror.org/00f809463	United States
Institute for Advanced Study in Toulouse, France	https://api.ror.org/organizations?affiliation=Institute+for+Advanced+Study+in+Toulouse,+France	1	FALSE	0.76	COMMON TERMS	Paris Institute for Advanced Study	https://ror.org/02rvv6x76	France
Institute for Advanced Study in Toulouse, Toulouse	https://api.ror.org/organizations?affiliation=Institute+for+Advanced+Study+in+Toulouse,+Toulouse	26	FALSE	0.82	COMMON TERMS	Institute for Advanced Study	https://ror.org/00f809463	United States
Institute for History, Leiden University	https://api.ror.org/organizations?affiliation=Institute+for+History,+Leiden+University	43	TRUE	1	PHRASE	Leiden University	https://ror.org/027bh9e22	Netherlands
Institute for Political Science Zürich, Switzerland	https://api.ror.org/organizations?affiliation=Institute+for+Political+Science+Zurich,+Switzerland	9	FALSE	0.62	COMMON TERMS	Institute for Independent Studies Zürich	https://ror.org/04q7nkm38	Switzerland
Institute for Social and Economic Change, Bangalore, India	https://api.ror.org/organizations?affiliation=Institute+for+Social+and+Economic+Change,+Bangalore,+India	18	TRUE	1	PHRASE	Institute for Social and Economic Change	https://ror.org/00g7qtt96	India
Institute for Social Research, Norway	https://api.ror.org/organizations?affiliation=Institute+for+Social+Research,+Norway	2	TRUE	1	PHRASE	Institute for Social Research	https://ror.org/05swz5441	Norway
Institute for Social Research, Norway. Institute for social research, Norway	https://api.ror.org/organizations?affiliation=Institute+for+Social+Research,+Norway.+Institute+for+social+research,+Norway	11	TRUE	1	PHRASE	Institute for Social Research	https://ror.org/05swz5441	Norway
Institute of Economic Growth, Delhi, India	https://api.ror.org/organizations?affiliation=Institute+of+Economic+Growth,+Delhi,+India	4	TRUE	1	PHRASE	Institute of Economic Growth	https://ror.org/00ycj0006	India
Institute of International Relations and Political Science, Vilnius University	https://api.ror.org/organizations?affiliation=Institute+of+International+Relations+and+Political+Science,+Vilnius+University	69	TRUE	1	PHRASE	Vilnius University	https://ror.org/03nadee84	Lithuania
Institute of Philosophy and Sociology, Polish Academy of Sciences	https://api.ror.org/organizations?affiliation=Institute+of+Philosophy+and+Sociology,+Polish+Academy+of+Sciences	49	FALSE	1	PHRASE	Institute of Philosophy	https://ror.org/005gbx671	Russia
Institute of Political Science, University of Zurich	https://api.ror.org/organizations?affiliation=Institute+of+Political+Science,+University+of+Zurich	43	TRUE	1	PHRASE	University of Zurich	https://ror.org/02crff812	Switzerland
Institute of Political Science, University of Zurich, Zurich	https://api.ror.org/organizations?affiliation=Institute+of+Political+Science,+University+of+Zurich,+Zurich	46	TRUE	1	PHRASE	University of Zurich	https://ror.org/02crff812	Switzerland
Institute of Public Goods and Policies of the Spanish National Research Council (CSIC)	https://api.ror.org/organizations?affiliation=Institute+of+Public+Goods+and+Policies+of+the+Spanish+National+Research+Council+(CSIC)	43	FALSE	1	COMMON TERMS	National Academies of Sciences, Engineering, and Medicine	https://ror.org/02eq2w707	United States
Institute of Social Sciences of the University of Lisbon, Lisbon	https://api.ror.org/organizations?affiliation=Institute+of+Social+Sciences+of+the+University+of+Lisbon,+Lisbon	18	TRUE	1	COMMON TERMS	University of Lisbon	https://ror.org/01c27hj86	Portugal
Institutions and Political Economy Research Group - University of Barcelona, Barcelona	https://api.ror.org/organizations?affiliation=Institutions+and+Political+Economy+Research+Group+-+University+of+Barcelona,+Barcelona	45	TRUE	1	COMMON TERMS	University of Barcelona	https://ror.org/021018s57	Spain
Instituto de Ciências Sociais - Universidade de Lisboa, Portugal	https://api.ror.org/organizations?affiliation=Instituto+de+Ciencias+Sociais+-+Universidade+de+Lisboa,+Portugal	7	TRUE	1	COMMON TERMS	University of Lisbon	https://ror.org/01c27hj86	Portugal
Instituto de Ciências Sociais - Universidade de Lisboa, Portugal. Social Sciences Institute of the University of Lisbon, Portugal. University of Lisbon, Portugal	https://api.ror.org/organizations?affiliation=Instituto+de+Ciencias+Sociais+-+Universidade+de+Lisboa,+Portugal.+Social+Sciences+Institute+of+the+University+of+Lisbon,+Portugal.+University+of+Lisbon,+Portugal	22	TRUE	1	COMMON TERMS	University of Lisbon	https://ror.org/01c27hj86	Portugal
Instituto de Ciências Sociais (ICS) from University of Lisbon	https://api.ror.org/organizations?affiliation=Instituto+de+Ciencias+Sociais+(ICS)+from+University+of+Lisbon	29	TRUE	1	COMMON TERMS	University of Lisbon	https://ror.org/01c27hj86	Portugal
Instituto de Ciências Sociais da Universidade de Lisboa	https://api.ror.org/organizations?affiliation=Instituto+de+Ciencias+Sociais+da+Universidade+de+Lisboa	14	FALSE	0.81	COMMON TERMS	Instituto Universitário de Ciências Psicológicas, Sociais e da Vida	https://ror.org/019yg0716	Portugal
Instituto de Ciências Sociais, Universidade de Lisboa, Lisboa	https://api.ror.org/organizations?affiliation=Instituto+de+Ciencias+Sociais,+Universidade+de+Lisboa,+Lisboa	29	TRUE	1	PHRASE	University of Lisbon	https://ror.org/01c27hj86	Portugal
Instituto Tecnológico Autónomo de México	https://api.ror.org/organizations?affiliation=Instituto+Tecnologico+Autonomo+de+Mexico	14	TRUE	1	PHRASE	Instituto Tecnológico Autónomo de México	https://ror.org/029md1766	Mexico
Interdisciplinary Center Herzliya	https://api.ror.org/organizations?affiliation=Interdisciplinary+Center+Herzliya	16	TRUE	1	PHRASE	Interdisciplinary Center Herzliya	https://ror.org/01px5cv07	Israel
International Conflict Research Group, ETH Zurich	https://api.ror.org/organizations?affiliation=International+Conflict+Research+Group,+ETH+Zurich	28	TRUE	1	PHRASE	ETH Zurich	https://ror.org/05a28rw58	Switzerland
International Conflict Research, ETH Zurich	https://api.ror.org/organizations?affiliation=International+Conflict+Research,+ETH+Zurich	31	TRUE	1	PHRASE	ETH Zurich	https://ror.org/05a28rw58	Switzerland
International Institute for Applied Systems Analysis (IIASA), Laxenburg	https://api.ror.org/organizations?affiliation=International+Institute+for+Applied+Systems+Analysis+(IIASA),+Laxenburg	18	TRUE	1	COMMON TERMS	International Institute for Applied Systems Analysis	https://ror.org/02wfhk785	Austria
IPERG-University of Barcelona, Spain	https://api.ror.org/organizations?affiliation=IPERG-University+of+Barcelona,+Spain	8	TRUE	1	COMMON TERMS	University of Barcelona	https://ror.org/021018s57	Spain
IPP-CSIC, Spain	https://api.ror.org/organizations?affiliation=IPP-CSIC,+Spain	9	FALSE	1	ACRONYM	Spanish National Research Council	https://ror.org/02gfc7t72	Spain
Johann Wolfgang Goethe-Universität Frankfurt am Main, Germany. Goethe University Frankfurt, Germany	https://api.ror.org/organizations?affiliation=Johann+Wolfgang+Goethe-Universitat+Frankfurt+am+Main,+Germany.+Goethe+University+Frankfurt,+Germany	16	TRUE	1	PHRASE	Goethe University Frankfurt	https://ror.org/04cvxnb49	Germany
Johannes Gutenberg University Mainz	https://api.ror.org/organizations?affiliation=Johannes+Gutenberg+University+Mainz	17	TRUE	0.96	COMMON TERMS	Johannes Gutenberg University of Mainz	https://ror.org/023b0x485	Germany
Johannes Gutenberg University Mainz, Germany. Johannes Gutenberg-Universität Mainz, Germany	https://api.ror.org/organizations?affiliation=Johannes+Gutenberg+University+Mainz,+Germany.+Johannes+Gutenberg-Universitat+Mainz,+Germany	11	TRUE	0.96	COMMON TERMS	Johannes Gutenberg University of Mainz	https://ror.org/023b0x485	Germany
Johns Hopkins University	https://api.ror.org/organizations?affiliation=Johns+Hopkins+University	19	TRUE	1	PHRASE	Johns Hopkins University	https://ror.org/00za53h95	United States
Johns Hopkins University, Baltimore	https://api.ror.org/organizations?affiliation=Johns+Hopkins+University,+Baltimore	19	TRUE	1	PHRASE	Johns Hopkins University	https://ror.org/00za53h95	United States
Johns Hopkins University, USA	https://api.ror.org/organizations?affiliation=Johns+Hopkins+University,+USA	7	TRUE	1	PHRASE	Johns Hopkins University	https://ror.org/00za53h95	United States
Juan March Institute, Carlos III	https://api.ror.org/organizations?affiliation=Juan+March+Institute,+Carlos+III	27	TRUE	0.9	ACRONYM	Institute for Information Industry	https://ror.org/01d8kr740	Taiwan
Karlsruhe Institute of Technology	https://api.ror.org/organizations?affiliation=Karlsruhe+Institute+of+Technology	16	TRUE	1	PHRASE	Karlsruhe Institute of Technology	https://ror.org/04t3en479	Germany
Karlsruhe Institute of Technology, Germany	https://api.ror.org/organizations?affiliation=Karlsruhe+Institute+of+Technology,+Germany	3	TRUE	1	PHRASE	Karlsruhe Institute of Technology	https://ror.org/04t3en479	Germany
Karlstad University, Karlstad, Sweden	https://api.ror.org/organizations?affiliation=Karlstad+University,+Karlstad,+Sweden	10	TRUE	1	PHRASE	Karlstad University	https://ror.org/05s754026	Sweden
Karlstad University, Sweden	https://api.ror.org/organizations?affiliation=Karlstad+University,+Sweden	8	TRUE	1	PHRASE	Karlstad University	https://ror.org/05s754026	Sweden
Kaunas Institute of Technology, Lithuania	https://api.ror.org/organizations?affiliation=Kaunas+Institute+of+Technology,+Lithuania	2	FALSE	0.66	COMMON TERMS	Kaunas University of Technology	https://ror.org/01me6gb93	Lithuania
KCL	https://api.ror.org/organizations?affiliation=KCL	2	FALSE	0.9	ACRONYM	King's College London	https://ror.org/0220mzb33	United Kingdom
KCL, United Kingdom	https://api.ror.org/organizations?affiliation=KCL,+United+Kingdom	8	TRUE	1	ACRONYM	King's College London	https://ror.org/0220mzb33	United Kingdom
KCL, United Kingdom. Kings College London, United Kingdom	https://api.ror.org/organizations?affiliation=KCL,+United+Kingdom.+Kings+College+London,+United+Kingdom	12	TRUE	1	ACRONYM	King's College London	https://ror.org/0220mzb33	United Kingdom
Kiel Institute for the World Economy, Germany	https://api.ror.org/organizations?affiliation=Kiel+Institute+for+the+World+Economy,+Germany	3	TRUE	1	PHRASE	Kiel Institute for the World Economy	https://ror.org/032yym934	Germany
Kiel University, Germany	https://api.ror.org/organizations?affiliation=Kiel+University,+Germany	9	TRUE	1	PHRASE	Kiel University	https://ror.org/04v76ef78	Germany
King's College London	https://api.ror.org/organizations?affiliation=King's+College+London	4	TRUE	1	PHRASE	King's College London	https://ror.org/0220mzb33	United Kingdom
King's College London && Copenhagen Business School	https://api.ror.org/organizations?affiliation=King's+College+London+&&+Copenhagen+Business+School	4	TRUE	1	PHRASE	King's College London	https://ror.org/0220mzb33	United Kingdom
King's College London && London School of Economics and Political Science	https://api.ror.org/organizations?affiliation=King's+College+London+&&+London+School+of+Economics+and+Political+Science	4	TRUE	1	PHRASE	King's College London	https://ror.org/0220mzb33	United Kingdom
King's College London, Department of Political Economy	https://api.ror.org/organizations?affiliation=King's+College+London,+Department+of+Political+Economy	5	TRUE	1	PHRASE	King's College London	https://ror.org/0220mzb33	United Kingdom
King's College London, United Kingdom	https://api.ror.org/organizations?affiliation=King's+College+London,+United+Kingdom	10	TRUE	1	PHRASE	King's College London	https://ror.org/0220mzb33	United Kingdom
KIng's College London, United Kingdom	https://api.ror.org/organizations?affiliation=KIng's+College+London,+United+Kingdom	10	TRUE	1	PHRASE	King's College London	https://ror.org/0220mzb33	United Kingdom
King's College, London, United Kingdom	https://api.ror.org/organizations?affiliation=King's+College,+London,+United+Kingdom	16	TRUE	1	PHRASE	King's College London	https://ror.org/0220mzb33	United Kingdom
Kings College, United Kingdom. Kings College London, United Kingdom	https://api.ror.org/organizations?affiliation=Kings+College,+United+Kingdom.+Kings+College+London,+United+Kingdom	16	FALSE	0.71	FUZZY	King's College London	https://ror.org/0220mzb33	United Kingdom
Kobe University	https://api.ror.org/organizations?affiliation=Kobe+University	21	TRUE	1	PHRASE	Kobe University	https://ror.org/03tgsfw79	Japan
Kobe University, Japan	https://api.ror.org/organizations?affiliation=Kobe+University,+Japan	14	TRUE	1	PHRASE	Kobe University	https://ror.org/03tgsfw79	Japan
Kobe University, Kobe	https://api.ror.org/organizations?affiliation=Kobe+University,+Kobe	23	TRUE	1	PHRASE	Kobe University	https://ror.org/03tgsfw79	Japan
Koc University, ?stanbul	https://api.ror.org/organizations?affiliation=Koc+University,+?stanbul	19	TRUE	1	PHRASE	Koç University	https://ror.org/00jzwgz36	Turkey
Koç University, Istanbul	https://api.ror.org/organizations?affiliation=Koc+University,+Istanbul	28	TRUE	1	PHRASE	Koç University	https://ror.org/00jzwgz36	Turkey
Koç University, Turkey	https://api.ror.org/organizations?affiliation=Koc+University,+Turkey	3	TRUE	1	PHRASE	Koç University	https://ror.org/00jzwgz36	Turkey
Kochi University of Technology, Japan	https://api.ror.org/organizations?affiliation=Kochi+University+of+Technology,+Japan	4	TRUE	1	PHRASE	Kochi University of Technology	https://ror.org/00rghrr56	Japan
Korea Advanced Institute of Science and Technology, Korea, Republic of	https://api.ror.org/organizations?affiliation=Korea+Advanced+Institute+of+Science+and+Technology,+Korea,+Republic+of	21	TRUE	1	PHRASE	Korea Advanced Institute of Science and Technology	https://ror.org/05apxxy63	South Korea
Korea University, Korea, Republic of	https://api.ror.org/organizations?affiliation=Korea+University,+Korea,+Republic+of	23	TRUE	1	PHRASE	Korea University	https://ror.org/047dqcg40	South Korea
KU Leuven	https://api.ror.org/organizations?affiliation=KU+Leuven	1	TRUE	1	PHRASE	KU Leuven	https://ror.org/05f950310	Belgium
KU Leuven, Belgium	https://api.ror.org/organizations?affiliation=KU+Leuven,+Belgium	11	TRUE	1	PHRASE	KU Leuven	https://ror.org/05f950310	Belgium
KU Leuven, Belgium && Stanford University, USA	https://api.ror.org/organizations?affiliation=KU+Leuven,+Belgium+&&+Stanford+University,+USA	11	TRUE	1	PHRASE	KU Leuven	https://ror.org/05f950310	Belgium
Kyung Hee, Seoul	https://api.ror.org/organizations?affiliation=Kyung+Hee,+Seoul	12	FALSE	0.63	COMMON TERMS	Kyung Hee University	https://ror.org/01zqcg218	South Korea
Leibniz Uni of Hannover, Germany	https://api.ror.org/organizations?affiliation=Leibniz+Uni+of+Hannover,+Germany	9	FALSE	0.8	COMMON TERMS	Leibniz University Hannover	https://ror.org/0304hq317	Germany
Leibniz Universität Hannover, Germany	https://api.ror.org/organizations?affiliation=Leibniz+Universitat+Hannover,+Germany	11	TRUE	1	PHRASE	Leibniz University Hannover	https://ror.org/0304hq317	Germany
Leibniz Universität Hannover, Germany. Leibinz University Hanover, Germany	https://api.ror.org/organizations?affiliation=Leibniz+Universitat+Hannover,+Germany.+Leibinz+University+Hanover,+Germany	15	TRUE	1	PHRASE	Leibniz University Hannover	https://ror.org/0304hq317	Germany
Leibniz University Hannover	https://api.ror.org/organizations?affiliation=Leibniz+University+Hannover	19	TRUE	1	PHRASE	Leibniz University Hannover	https://ror.org/0304hq317	Germany
Leibniz University Hannover, Germany	https://api.ror.org/organizations?affiliation=Leibniz+University+Hannover,+Germany	13	TRUE	1	PHRASE	Leibniz University Hannover	https://ror.org/0304hq317	Germany
Leibniz University of Hannover, Germany. Leibniz University Hannover, Germany	https://api.ror.org/organizations?affiliation=Leibniz+University+of+Hannover,+Germany.+Leibniz+University+Hannover,+Germany	14	TRUE	0.95	COMMON TERMS	Leibniz University Hannover	https://ror.org/0304hq317	Germany
Leiden University	https://api.ror.org/organizations?affiliation=Leiden+University	20	TRUE	1	PHRASE	Leiden University	https://ror.org/027bh9e22	Netherlands
Leiden University && Groningen University	https://api.ror.org/organizations?affiliation=Leiden+University+&&+Groningen+University	20	TRUE	1	PHRASE	Leiden University	https://ror.org/027bh9e22	Netherlands
Leiden University, Netherlands	https://api.ror.org/organizations?affiliation=Leiden+University,+Netherlands	10	TRUE	1	PHRASE	Leiden University	https://ror.org/027bh9e22	Netherlands
Leuphana Universität Lüneburg, Germany	https://api.ror.org/organizations?affiliation=Leuphana+Universitat+Luneburg,+Germany	8	TRUE	1	PHRASE	Leuphana University of Lüneburg	https://ror.org/02w2y2t16	Germany
Leuphana University in Lüneburg, Germany	https://api.ror.org/organizations?affiliation=Leuphana+University+in+Luneburg,+Germany	7	TRUE	0.9	COMMON TERMS	Leuphana University of Lüneburg	https://ror.org/02w2y2t16	Germany
Leuphana University Lüneburg, Germany	https://api.ror.org/organizations?affiliation=Leuphana+University+Luneburg,+Germany	6	TRUE	0.95	COMMON TERMS	Leuphana University of Lüneburg	https://ror.org/02w2y2t16	Germany
Leuven University, Leuven	https://api.ror.org/organizations?affiliation=Leuven+University,+Leuven	21	TRUE	0.92	COMMON TERMS	KU Leuven	https://ror.org/05f950310	Belgium
Lingnan University, Hong Kong	https://api.ror.org/organizations?affiliation=Lingnan+University,+Hong+Kong	12	TRUE	1	PHRASE	Lingnan University	https://ror.org/0563pg902	China
LMU Munich	https://api.ror.org/organizations?affiliation=LMU+Munich	7	FALSE	0.9	ACRONYM	London Metropolitan University	https://ror.org/00ae33288	United Kingdom
LMU Munich, Germany	https://api.ror.org/organizations?affiliation=LMU+Munich,+Germany	13	TRUE	1	ACRONYM	Ludwig-Maximilians-Universität München	https://ror.org/05591te55	Germany
LMU Munich, Munich	https://api.ror.org/organizations?affiliation=LMU+Munich,+Munich	23	FALSE	0.9	ACRONYM	London Metropolitan University	https://ror.org/00ae33288	United Kingdom
London School of Economics	https://api.ror.org/organizations?affiliation=London+School+of+Economics	6	TRUE	1	PHRASE	London School of Economics and Political Science	https://ror.org/0090zs177	United Kingdom
London School of Economics and Political Science	https://api.ror.org/organizations?affiliation=London+School+of+Economics+and+Political+Science	6	TRUE	1	PHRASE	London School of Economics and Political Science	https://ror.org/0090zs177	United Kingdom
London School of Economics and Political Science - LSE	https://api.ror.org/organizations?affiliation=London+School+of+Economics+and+Political+Science+-+LSE	7	TRUE	1	PHRASE	London School of Economics and Political Science	https://ror.org/0090zs177	United Kingdom
London School of Economics and Political Science, London	https://api.ror.org/organizations?affiliation=London+School+of+Economics+and+Political+Science,+London	9	TRUE	1	PHRASE	London School of Economics and Political Science	https://ror.org/0090zs177	United Kingdom
London School of Economics and Political Science, London, UK	https://api.ror.org/organizations?affiliation=London+School+of+Economics+and+Political+Science,+London,+UK	9	TRUE	1	PHRASE	London School of Economics and Political Science	https://ror.org/0090zs177	United Kingdom
London School of Economics and Political Science, United Kingdom	https://api.ror.org/organizations?affiliation=London+School+of+Economics+and+Political+Science,+United+Kingdom	13	TRUE	1	PHRASE	London School of Economics and Political Science	https://ror.org/0090zs177	United Kingdom
London School of Economics and Political Science, United Kingdom. LSE, United Kingdom	https://api.ror.org/organizations?affiliation=London+School+of+Economics+and+Political+Science,+United+Kingdom.+LSE,+United+Kingdom	14	TRUE	1	PHRASE	London School of Economics and Political Science	https://ror.org/0090zs177	United Kingdom
London School of Economics, London	https://api.ror.org/organizations?affiliation=London+School+of+Economics,+London	11	TRUE	1	PHRASE	London School of Economics and Political Science	https://ror.org/0090zs177	United Kingdom
London School of Economics, United Kingdom	https://api.ror.org/organizations?affiliation=London+School+of+Economics,+United+Kingdom	12	TRUE	1	PHRASE	London School of Economics and Political Science	https://ror.org/0090zs177	United Kingdom
Louisiana State University	https://api.ror.org/organizations?affiliation=Louisiana+State+University	10	TRUE	1	PHRASE	Louisiana State University	https://ror.org/05ect4e57	United States
Loyola Marymount University, USA	https://api.ror.org/organizations?affiliation=Loyola+Marymount+University,+USA	8	FALSE	1	HEURISTICS	Marymount University	https://ror.org/0008kv292	United States
Loyola University Maryland	https://api.ror.org/organizations?affiliation=Loyola+University+Maryland	7	TRUE	1	PHRASE	Loyola University Maryland	https://ror.org/01by1wp65	United States
