affiliation	affiliation_ror	affiliation_url	affiliation_ccode	affiliation_cname
Grand Valley State University, USA	Grand Valley State University	https://ror.org/001m1hv61	US	United States
Griffith University, Australia	Griffith University	https://ror.org/02sc3r913	AU	Australia
Griffith University, Brisbane, Australia	Griffith University	https://ror.org/02sc3r913	AU	Australia
Griffith, Australia	Griffith University	https://ror.org/02sc3r913	AU	Australia
Groeningen University, Netherlands	University of Groningen	https://ror.org/012p63287	NL	Netherlands
HEC Lausanne	University of Lausanne	https://ror.org/019whta54	CH	Switzerland
HEC Lausanne, Switzerland	University of Lausanne	https://ror.org/019whta54	CH	Switzerland
HEC Montreal, Canada	HEC Montréal	https://ror.org/05ww3wq27	CA	Canada
HHL Leipzig Graduate School of Management, Leipzig	HHL Leipzig Graduate School of Management	https://ror.org/00vjd4k74	DE	Germany
HIVA - KU Leuven	KU Leuven	https://ror.org/05f950310	BE	Belgium
HIVA, KU Leuven	KU Leuven	https://ror.org/05f950310	BE	Belgium
Hacettepe University, Turkey	Hacettepe University	https://ror.org/04kwvgz42	TR	Turkey
Haifa University, Israel	University of Haifa	https://ror.org/02f009v59	IL	Israel
Hamilton College, USA	Hamilton College	https://ror.org/05709zb94	US	United States
Harris School of Public Policy, University of Chicago, USA	University of Chicago	https://ror.org/024mw5h28	US	United States
Harvard Business School, USA	Harvard University	https://ror.org/03vek6s52	US	United States
Harvard Kennedy School	Harvard University	https://ror.org/03vek6s52	US	United States
Harvard Kennedy School, USA	Harvard University	https://ror.org/03vek6s52	US	United States
Harvard University	Harvard University	https://ror.org/03vek6s52	US	United States
Harvard University, Cambridge	Harvard University	https://ror.org/03vek6s52	US	United States
Harvard University, USA	Harvard University	https://ror.org/03vek6s52	US	United States
Harvard, USA	Harvard University	https://ror.org/03vek6s52	US	United States
Havard University, USA	Universidad Metropolitana	https://ror.org/037gty358	US	United States
Hebrew University of Jerusalem	Hebrew University of Jerusalem	https://ror.org/03qxff017	IL	Israel
Hebrew University of Jerusalem, Israel	Hebrew University of Jerusalem	https://ror.org/03qxff017	IL	Israel
Hebrew University, Israel	Hebrew University of Jerusalem	https://ror.org/03qxff017	IL	Israel
Heidelberg University	Heidelberg University	https://ror.org/038t36y30	DE	Germany
Heidelberg University, Germany	Heidelberg University	https://ror.org/038t36y30	DE	Germany
Heidelberg, Germany	Heidelberg University	https://ror.org/04rcqnp59	US	United States
Heinrich Heine University Düsseldorf, Germany	Heinrich Heine University Düsseldorf	https://ror.org/024z2rq82	DE	Germany
Heinrich Heine Universität Düsseldorf, Germany	Heinrich Heine University Düsseldorf	https://ror.org/024z2rq82	DE	Germany
Heinrich-Heine-Universität Düsseldorf	Heinrich Heine University Düsseldorf	https://ror.org/024z2rq82	DE	Germany
Helmut Schmidt University Hamburg	Helmut Schmidt University	https://ror.org/04e8jbs38	DE	Germany
Herite School, Humboldt University, Berlin	Hertie School	https://ror.org/0473a4773	DE	Germany
Hertie School	Hertie School	https://ror.org/0473a4773	DE	Germany
Hertie School Berlin's University of Governance Friedrichstrasse 180 10117 Berlin, Germany, Berlin	Hertie School	https://ror.org/0473a4773	DE	Germany
Hertie School of Governance	Hertie School	https://ror.org/0473a4773	DE	Germany
Hertie School of Governance, Germany	Hertie School	https://ror.org/0473a4773	DE	Germany
Hertie School of Governance, Germany && University of Zurich, Switzerland	Hertie School	https://ror.org/0473a4773	DE	Germany
Hertie School, Berlin	Hertie School	https://ror.org/0473a4773	DE	Germany
Hertie School, Berlin's University of Governance, Berlin	Hertie School	https://ror.org/0473a4773	DE	Germany
Hertie School, Berlin, Germany	Hertie School	https://ror.org/0473a4773	DE	Germany
Hertie School, Germany	Hertie School	https://ror.org/0473a4773	DE	Germany
Hertie School, Germany && Berlin Institute for Empirical Integration and Migration Research (BIM), Humboldt University of Berlin, Germany	Hertie School	https://ror.org/0473a4773	DE	Germany
Hertie School, Germany. Hertie, Germany	Hertie School	https://ror.org/0473a4773	DE	Germany
Higher School of Economics, Russian Federation	National Research University Higher School of Economics	https://ror.org/055f7t516	RU	Russia
Higher School of Economics; Trinity College Dublin	Trinity College Dublin	https://ror.org/02tyrky19	IE	Ireland
Hiroshima University, Hiroshima	Hiroshima University	https://ror.org/03t78wx29	JP	Japan
Hitotsubashi University	Hitotsubashi University	https://ror.org/04jqj7p05	JP	Japan
Hitotsubashi University, Japan	Hitotsubashi University	https://ror.org/04jqj7p05	JP	Japan
Hobby School of Public Affairs University of Houston	University of Houston	https://ror.org/048sx0r50	US	United States
Hoise University, Japan	Hosei University	https://ror.org/00bx6dj65	JP	Japan
Hong Kong Baptist University	Hong Kong Baptist University	https://ror.org/0145fw131	CN	China
Hong Kong University of Science and Technology, Hong Kong	Hong Kong University of Science and Technology	https://ror.org/00q4vv597	CN	China
Humansurveys.org, USA	HUMAN Surveys	NA	US	United States
Humboldt Universitat zu Berlin, Germany	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	DE	Germany
Humboldt University	Humboldt State University	https://ror.org/02qt0xs84	US	United States
Humboldt University Berlin	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	DE	Germany
Humboldt University Berlin, Berlin	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	DE	Germany
Humboldt University Berlin, Germany	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	DE	Germany
Humboldt University of Berlin	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	DE	Germany
Humboldt University of Berlin, Germany	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	DE	Germany
Humboldt University, Berlin	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	DE	Germany
Humboldt University, Germany	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	DE	Germany
Humboldt University, Germany && University of Witten/Herdecke, Germany	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	DE	Germany
Humboldt Universität zu Berlin	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	DE	Germany
Humboldt Universität zu Berlin && University of Amsterdam	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	DE	Germany
Humboldt Universität zu Berlin && University of Vienna	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	DE	Germany
Humboldt Universität, Germany	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	DE	Germany
Humboldt-Universität zu Berlin	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	DE	Germany
Humboldt-Universität zu Berlin, Berlin	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	DE	Germany
Humboldt-Universität zu Berlin, Germany	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	DE	Germany
Humboldt-Universität zu Berlin, Germany. Humboldt University of Berlin, Germany	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	DE	Germany
Humboldt-Universität, Germany	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	DE	Germany
Hungarian Academy of Sciences, Budapest, Hungary	Hungarian Academy of Sciences	https://ror.org/02ks8qq67	HU	Hungary
Hungarian Academy of Sciences, Hungary	Hungarian Academy of Sciences	https://ror.org/02ks8qq67	HU	Hungary
IAB Nurnberg	Institut für Arbeitsmarkt und Berufsforschung	https://ror.org/02qcqwf93	DE	Germany
IAST, Toulouse	Institute for Advanced Study in Toulouse	https://ror.org/03fg2km54	FR	France
IBEI (Institut Barcelona d'Estudis Internacionals, Spain	Institut Barcelona d'Estudis Internacionals	https://ror.org/05rke5d69	ES	Spain
IBEI, Spain	Institut Barcelona d'Estudis Internacionals	https://ror.org/05rke5d69	ES	Spain
ICSO	Diego Portales University	https://ror.org/03gtdcg60	CL	Chile
IE School of Global and Public Affairs, Spain	IE University	https://ror.org/02jjdwm75	ES	Spain
IE University	IE University	https://ror.org/02jjdwm75	ES	Spain
IE University Madrid	IE University	https://ror.org/02jjdwm75	ES	Spain
IE University Madrid, Spain	IE University	https://ror.org/02jjdwm75	ES	Spain
IE University, School of Global & Public Affairs	IE University	https://ror.org/02jjdwm75	ES	Spain
IE University, Spain	IE University	https://ror.org/02jjdwm75	ES	Spain
IHEID	Graduate Institute of International and Development Studies	https://ror.org/007ygn379	CH	Switzerland
IIES, Stockholm University, Sweden	Stockholm University	https://ror.org/05f0yaq80	SE	Sweden
IMF, USA	International Monetary Fund	https://ror.org/05m4rmw09	US	United States
IMPRS-SCE, Germany && Max-Planck-Institut für Gesellschaftsforschung, Germany	Max Planck Institute for the Study of Societies	https://ror.org/01dwpbz64	DE	Germany
INRAE	National Research Institute for Agriculture, Food and Environment	https://ror.org/003vg9w96	FR	France
INRAE, France	National Research Institute for Agriculture, Food and Environment	https://ror.org/003vg9w96	FR	France
IPE and Environmental Politics Group, ETH Zürich	ETH Zurich	https://ror.org/05a28rw58	CH	Switzerland
IPERG, Universitat Autònoma de Barcelona, Spain	Autonomous University of Barcelona	https://ror.org/052g8jq94	ES	Spain
IPERG-University of Barcelona, Spain	University of Barcelona	https://ror.org/021018s57	ES	Spain
IPERG–Universitat de Barcelona	University of Barcelona	https://ror.org/021018s57	ES	Spain
IPErG && Princeton University	University of Barcelona	https://ror.org/021018s57	ES	Spain
IPP (CSIC), Spain	Instituto de Políticas y Bienes Públicos	https://ror.org/04q93ds34	ES	Spain
IPP-CSIC, Spain	Instituto de Políticas y Bienes Públicos	https://ror.org/04q93ds34	ES	Spain
ISCTE-CIES, Portugal	Iscte – Instituto Universitário de Lisboa	https://ror.org/014837179	PT	Portugal
ISCTE-IUL, Lisbon	Iscte – Instituto Universitário de Lisboa	https://ror.org/014837179	PT	Portugal
ISET, International School of Economics (at Tbilisi State University), Georgia	Tbilisi State University	https://ror.org/05fd1hd85	GE	Georgia
ITAM	Instituto Tecnológico Autónomo de México	https://ror.org/029md1766	MX	Mexico
ITAM - Instituto Tecnologico Autonomo de Mexico	Instituto Tecnológico Autónomo de México	https://ror.org/029md1766	MX	Mexico
ITAM, Mexico	Instituto Tecnológico Autónomo de México	https://ror.org/029md1766	MX	Mexico
Immigration Policy Lab, ETH Zurich and Stanford University	ETH Zurich	https://ror.org/05a28rw58	CH	Switzerland
Immigration Policy Lab, ETH Zurich and Stanford University && Center for Comparative and International Studies, ETH Zurich	ETH Zurich	https://ror.org/05a28rw58	CH	Switzerland
Immigration Policy Lab, ETH Zurich and Stanford University && KOF Economic Institute	ETH Zurich	https://ror.org/05a28rw58	CH	Switzerland
Imperial College London, United Kingdom	Imperial College London	https://ror.org/041kmwe10	GB	United Kingdom
Independent	(independent)	NA	GB	United Kingdom
Independent Researcher, Brazil	(independent)	NA	BR	Brazil
Independent Researcher, USA	(independent)	NA	US	United States
Independent Scholar, USA	(independent)	NA	US	United States
Independent researcher	(independent)	NA	AT	Austria
Independent researcher, Pakistan	(independent)	NA	PK	Pakistan
Independent scholar, USA	(independent)	NA	US	United States
Independent, United Kingdom	(independent)	NA	GB	United Kingdom
Indiana University, USA	Indiana University	https://ror.org/01kg8sb98	US	United States
Innovations for Poverty Action	Innovations for Poverty Action	https://ror.org/0235ad950	US	United States
Innsbruck University	Universität Innsbruck	https://ror.org/054pv6659	AT	Austria
Insitute for Advanced Studies, Austria	Institut für Höhere Studien - Institute for Advanced Studies	https://ror.org/05ag62t55	AT	Austria
Insper - Institute of Education and Research	Insper	https://ror.org/02nmavx05	BR	Brazil
Insper Institute of Education and Research	Insper	https://ror.org/02nmavx05	BR	Brazil
Instit. Barcelona d'Estudis Internationale, Spain	Institut Barcelona d'Estudis Internacionals	https://ror.org/05rke5d69	ES	Spain
Institut Barcelona d'Estudis Internacionals	Institut Barcelona d'Estudis Internacionals	https://ror.org/05rke5d69	ES	Spain
Institut Barcelona d'Estudis Internacionals (IBEI)	Institut Barcelona d'Estudis Internacionals	https://ror.org/05rke5d69	ES	Spain
Institut Barcelona d'Estudis Internacionals (IBEI), Spain	Institut Barcelona d'Estudis Internacionals	https://ror.org/05rke5d69	ES	Spain
Institut Barcelona d'Estudis Internacionals, Barcelona	Institut Barcelona d'Estudis Internacionals	https://ror.org/05rke5d69	ES	Spain
Institut Barcelona d'Estudis Internacionals, Spain. IBEI, Spain	Institut Barcelona d'Estudis Internacionals	https://ror.org/05rke5d69	ES	Spain
Institut d'Economia de Barcelona (IEB)	Universitat de Barcelona	https://ror.org/021018s57	ES	Spain
Institut d'Estudis de l'Autogovern, Spain	Institut d'Estudis de l'Autogovern	NA	ES	Spain
Institute Vienna Circle University of Vienna	University of Vienna	https://ror.org/03prydq77	AT	Austria
Institute for Advanced Studies, Austria	Institut für Höhere Studien - Institute for Advanced Studies	https://ror.org/05ag62t55	AT	Austria
Institute for Advanced Studies, Vienna	Institut für Höhere Studien - Institute for Advanced Studies (IHS)	https://ror.org/05ag62t55	AT	Austria
Institute for Advanced Studies, Vienna && University of Klagenfurt	Institut für Höhere Studien - Institute for Advanced Studies (IHS)	https://ror.org/05ag62t55	AT	Austria
Institute for Advanced Studies, Vienna, Austria	Institut für Höhere Studien - Institute for Advanced Studies (IHS)	https://ror.org/05ag62t55	AT	Austria
Institute for Advanced Study in Toulouse (IAST)	Institute for Advanced Study in Toulouse	https://ror.org/03fg2km54	FR	France
Institute for Advanced Study in Toulouse, France	Institute for Advanced Study in Toulouse	https://ror.org/03fg2km54	FR	France
Institute for Advanced Study in Toulouse, Toulouse	Institute for Advanced Study in Toulouse	https://ror.org/03fg2km54	FR	France
Institute for Democracy Research (IfDem), University of Göttingen, Germany	University of Göttingen	https://ror.org/01y9bpm73	DE	Germany
Institute for History, Leiden University	Leiden University	https://ror.org/027bh9e22	NL	Netherlands
Institute for National Security Studies, Tel Aviv University, Israel	Tel Aviv University	https://ror.org/04mhzgx49	IL	Israel
Institute for Political Science Zürich, Switzerland	University of Zurich	https://ror.org/02crff812	CH	Switzerland
Institute for Political Science, University of Bamberg, Germany	University of Bamberg	https://ror.org/01c1w6d29	DE	Germany
Institute for Social Research	Institute for Social Research	https://ror.org/05swz5441	NO	Norway
Institute for Social Research Oslo, Norway	Institute for Social Research	https://ror.org/05swz5441	NO	Norway
Institute for Social Research, Norway	Institute for Social Research	https://ror.org/05swz5441	NO	Norway
Institute for Social Research, Norway. Institute for social research, Norway	Institute for Social Research	https://ror.org/05swz5441	NO	Norway
Institute for Social Research, Oslo	Institute for Social Research	https://ror.org/05swz5441	NO	Norway
Institute for Social Research, Oslo, Norway	Institute for Social Research	https://ror.org/05swz5441	NO	Norway
Institute for Social and Economic Change, Bangalore, India	Institute for Social and Economic Change	https://ror.org/00g7qtt96	IN	India
Institute of Artificial Intelligence, Leibniz University Hannover, Germany	Leibniz University Hannover	https://ror.org/0304hq317	DE	Germany
Institute of Economic Growth, Delhi, India	Institute of Economic Growth	https://ror.org/00ycj0006	IN	India
Institute of International Relations and Political Science, Vilnius University	Vilnius University	https://ror.org/03nadee84	LT	Lithuania
Institute of Philosophy and Sociology, Polish Academy of Sciences	Institute of Philosophy and Sociology	https://ror.org/01pe10g60	PL	Poland
Institute of Political Science & Oeschger Centre for Climate Change Research, Universität Bern, Switzerland	University of Bern	https://ror.org/02k7v4d05	CH	Switzerland
Institute of Political Science, Academia Sinica, Taiwan	Academia Sinica	https://ror.org/05bxb3784	TW	Taiwan
Institute of Political Science, Faculty of Social Sciences, Johann Wolfgang Goethe University Frankfurt am Main, Germany	Goethe University Frankfurt	https://ror.org/04cvxnb49	DE	Germany
Institute of Political Science, Faculty of Social Sciences, JohannWolfgang Goethe University Frankfurt am Main, Germany	Goethe University Frankfurt	https://ror.org/04cvxnb49	DE	Germany
Institute of Political Science, Leiden University	Leiden University	https://ror.org/027bh9e22	NL	Netherlands
Institute of Political Science, University of Zurich	University of Zurich	https://ror.org/02crff812	CH	Switzerland
Institute of Political Science, University of Zurich, Zurich	University of Zurich	https://ror.org/02crff812	CH	Switzerland
Institute of Political Studies of the Faculty of Social Sciences of the Charles University (IPS FSS CU)	Charles University	https://ror.org/024d6js02	CZ	Czechia
Institute of Public Goods and Policies of the Spanish National Research Council (CSIC)	Instituto de Políticas y Bienes Públicos	https://ror.org/04q93ds34	ES	Spain
Institute of Public Goods, CSIC, Madrid, Spain	Instituto de Políticas y Bienes Públicos	https://ror.org/04q93ds34	ES	Spain
Institute of Social Sciences of the University of Lisbon, Lisbon	University of Lisbon	https://ror.org/01c27hj86	PT	Portugal
Institute of Social Sciences, University of Lisbon, Portugal	University of Lisbon	https://ror.org/01c27hj86	PT	Portugal
Institute of Sociology, Czech Academy of Sciences	Czech Academy of Sciences, Institute of Sociology	https://ror.org/018hy5194	CZ	Czechia
Institutions and Political Economy Research Group - University of Barcelona, Barcelona	University of Barcelona	https://ror.org/021018s57	ES	Spain
Instituto Tecnológico Autónomo de México	Instituto Tecnológico Autónomo de México	https://ror.org/029md1766	MX	Mexico
Instituto de Ciências Sociais (ICS) from University of Lisbon	University of Lisbon	https://ror.org/01c27hj86	PT	Portugal
Instituto de Ciências Sociais - Universidade de Lisboa, Portugal	University of Lisbon	https://ror.org/01c27hj86	PT	Portugal
Instituto de Ciências Sociais - Universidade de Lisboa, Portugal. Social Sciences Institute of the University of Lisbon, Portugal. University of Lisbon, Portugal	University of Lisbon	https://ror.org/01c27hj86	PT	Portugal
Instituto de Ciências Sociais da Universidade de Lisboa	Instituto Universitário de Ciências Psicológicas, Sociais e da Vida	https://ror.org/019yg0716	PT	Portugal
Instituto de Ciências Sociais, Universidade de Lisboa, Lisboa	University of Lisbon	https://ror.org/01c27hj86	PT	Portugal
Instituto de Políticas y Bienes Públicos (CSIC)	Instituto de Políticas y Bienes Públicos	https://ror.org/04q93ds34	ES	Spain
Inter-American Development Bank, Costa Rica	Inter-American Development Bank	https://ror.org/02gjn4306	US	United States
Inter-American Development Bank, USA	Inter-American Development Bank	https://ror.org/02gjn4306	US	United States
Interdisciplinary Center Herzliya	Interdisciplinary Center Herzliya	https://ror.org/01px5cv07	IL	Israel
International Conflict Research Group, ETH Zurich	ETH Zurich	https://ror.org/05a28rw58	CH	Switzerland
International Conflict Research, ETH Zurich	ETH Zurich	https://ror.org/05a28rw58	CH	Switzerland
International Institute for Applied Systems Analysis (IIASA), Laxenburg	International Institute for Applied Systems Analysis	https://ror.org/02wfhk785	AT	Austria
International School of Economics, Tbilisi State University && School of International and Public Affairs, Columbia University && IZA, Institute of Labor Economics, Bonn, Germany	Tbilisi State University	https://ror.org/05fd1hd85	GE	Georgia
International University of Catalonia, Spain	Universitat Internacional de Catalunya	https://ror.org/00tse2b39	ES	Spain
International University of La Rioja, Spain	University of La Rioja	https://ror.org/0553yr311	ES	Spain
Istanbul Medeniyet University, Turkey	Istanbul Medeniyet University	https://ror.org/05j1qpr59	TR	Turkey
Jagiellonian University	Jagiellonian University	https://ror.org/03bqmcz70	PL	Poland
Johann Wolfgang Goethe-Universität Frankfurt am Main, Germany. Goethe University Frankfurt, Germany	Goethe University Frankfurt	https://ror.org/04cvxnb49	DE	Germany
Johannes Gutenberg University Mainz	Johannes Gutenberg University of Mainz	https://ror.org/023b0x485	DE	Germany
Johannes Gutenberg University Mainz, Germany. Johannes Gutenberg-Universität Mainz, Germany	Johannes Gutenberg University of Mainz	https://ror.org/023b0x485	DE	Germany
Johannes Gutenberg- Universität Mainz, Germany	Johannes Gutenberg University Mainz	https://ror.org/023b0x485	DE	Germany
Johannes Kepler University Linz - Institute of Politics and Social Policy	Johannes Kepler University of Linz	https://ror.org/052r2xn60	AT	Austria
Johns Hopkins University	Johns Hopkins University	https://ror.org/00za53h95	US	United States
Johns Hopkins University, Baltimore	Johns Hopkins University	https://ror.org/00za53h95	US	United States
Johns Hopkins University, USA	Johns Hopkins University	https://ror.org/00za53h95	US	United States
Juan March Institute, Carlos III	Carlos III University of Madrid	https://ror.org/03ths8210	ES	Spain
Juan March Institute, Carlos III University	Carlos III University of Madrid	https://ror.org/03ths8210	ES	Spain
KCL	King's College London	https://ror.org/0220mzb33	GB	United Kingdom
KCL, United Kingdom	King's College London	https://ror.org/0220mzb33	GB	United Kingdom
KCL, United Kingdom. Kings College London, United Kingdom	King's College London	https://ror.org/0220mzb33	GB	United Kingdom
KDI School of Public Policy and Management	Korea Development Institute	https://ror.org/02h7vzs32	KR	South Korea
KDI School of Public Policy and Management, Korea, Republic of	Korea Development Institute	https://ror.org/02h7vzs32	KR	South Korea
KIng's College London, United Kingdom	King's College London	https://ror.org/0220mzb33	GB	United Kingdom
KU Leuven	KU Leuven	https://ror.org/05f950310	BE	Belgium
KU Leuven, Belgium	KU Leuven	https://ror.org/05f950310	BE	Belgium
KU Leuven, Belgium && Stanford University, USA	KU Leuven	https://ror.org/05f950310	BE	Belgium
Kansas State University	Kansas State University	https://ror.org/05p1j8758	US	United States
Karlsruhe Institute of Technology	Karlsruhe Institute of Technology	https://ror.org/04t3en479	DE	Germany
Karlsruhe Institute of Technology, Germany	Karlsruhe Institute of Technology	https://ror.org/04t3en479	DE	Germany
Karlstad University, Karlstad, Sweden	Karlstad University	https://ror.org/05s754026	SE	Sweden
Karlstad University, Sweden	Karlstad University	https://ror.org/05s754026	SE	Sweden
Karolinska Institute, Sweden	Karolinska Institutet	https://ror.org/056d84691	SE	Sweden
Kaunas Institute of Technology, Lithuania	Kaunas University of Technology	https://ror.org/01me6gb93	LT	Lithuania
Kiel Institute for the World Economy, Germany	Kiel Institute for the World Economy	https://ror.org/032yym934	DE	Germany
Kiel University, Germany	Kiel University	https://ror.org/04v76ef78	DE	Germany
King's College London	King's College London	https://ror.org/0220mzb33	GB	United Kingdom
King's College London && Copenhagen Business School	King's College London	https://ror.org/0220mzb33	GB	United Kingdom
King's College London && London School of Economics and Political Science	King's College London	https://ror.org/0220mzb33	GB	United Kingdom
King's College London, Department of Political Economy	King's College London	https://ror.org/0220mzb33	GB	United Kingdom
King's College London, United Kingdom	King's College London	https://ror.org/0220mzb33	GB	United Kingdom
King's College, London, United Kingdom	King's College London	https://ror.org/0220mzb33	GB	United Kingdom
Kings College London, United Kingdom	King's College London	https://ror.org/0220mzb33	GB	United Kingdom
Kings College, United Kingdom. Kings College London, United Kingdom	King's College London	https://ror.org/0220mzb33	GB	United Kingdom
Kobe University	Kobe University	https://ror.org/03tgsfw79	JP	Japan
Kobe University, Japan	Kobe University	https://ror.org/03tgsfw79	JP	Japan
Kobe University, Kobe	Kobe University	https://ror.org/03tgsfw79	JP	Japan
Koc University, ?stanbul	Koç University	https://ror.org/00jzwgz36	TR	Turkey
Koc University, Turkey	Koç University	https://ror.org/00jzwgz36	TR	Turkey
Kochi University of Technology, Japan	Kochi University of Technology	https://ror.org/00rghrr56	JP	Japan
Kookmin University	Kookmin University	https://ror.org/0049erg63	KR	South Korea
Korea Advanced Institute of Science and Technology, Korea, Republic of	Korea Advanced Institute of Science and Technology	https://ror.org/05apxxy63	KR	South Korea
Korea University, Korea, Republic of	Korea University	https://ror.org/047dqcg40	KR	South Korea
Koç University	Koç University	https://ror.org/00jzwgz36	TR	Turkey
Koç University, Istanbul	Koç University	https://ror.org/00jzwgz36	TR	Turkey
Koç University, Turkey	Koç University	https://ror.org/00jzwgz36	TR	Turkey
Kristianstad University	Kristianstad University	https://ror.org/00tkrft03	SE	Sweden
Kyung Hee, Seoul	Kyung Hee University	https://ror.org/01zqcg218	KR	South Korea
LMU Munich	Ludwig-Maximilians-Universität München	https://ror.org/05591te55	DE	Germany
LMU Munich, Computer Science, Germany	Ludwig-Maximilians-Universität München	https://ror.org/05591te55	DE	Germany
LMU Munich, Germany	Ludwig-Maximilians-Universität München	https://ror.org/05591te55	DE	Germany
LMU Munich, Munich	London Metropolitan University	https://ror.org/00ae33288	GB	United Kingdom
LMU Munich, Political Science, Germany	Ludwig-Maximilians-Universität München	https://ror.org/05591te55	DE	Germany
LMU München, Denmark	Ludwig-Maximilians-Universität München	https://ror.org/05591te55	DE	Germany
LMU München, Germany	Ludwig-Maximilians-Universität München	https://ror.org/05591te55	DE	Germany
LSE	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
LSE && CEPR	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
LSE - London School of Economics and Political Science	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
LSE / ECB	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
LSE, London	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
LSE, United Kingdom	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
LUISS University	Libera Università Internazionale degli Studi Sociali Guido Carli	https://ror.org/01q8b6q23	IT	Italy
LUISS University Rome, Italy	Libera Università Internazionale degli Studi Sociali Guido Carli	https://ror.org/01q8b6q23	IT	Italy
LUMS, Pakistan	Lahore University of Management Sciences	https://ror.org/05b5x4a35	PK	Pakistan
Laval University, Canada	Université Laval	https://ror.org/04sjchr03	CA	Canada
Leibniz Institute for Educational Trajectories, Germany	Leibniz Institute for Educational Trajectories	https://ror.org/04c14rw28	DE	Germany
Leibniz Uni of Hannover, Germany	Leibniz University Hannover	https://ror.org/0304hq317	DE	Germany
Leibniz University Hannover	Leibniz University Hannover	https://ror.org/0304hq317	DE	Germany
Leibniz University Hannover, Germany	Leibniz University Hannover	https://ror.org/0304hq317	DE	Germany
Leibniz University of Hannover, Germany. Leibniz University Hannover, Germany	Leibniz University Hannover	https://ror.org/0304hq317	DE	Germany
Leibniz University, Hannover	Leibniz University Hannover	https://ror.org/0304hq317	DE	Germany
Leibniz Universität Hannover	Leibniz University Hannover	https://ror.org/0304hq317	DE	Germany
Leibniz Universität Hannover, Germany	Leibniz University Hannover	https://ror.org/0304hq317	DE	Germany
Leibniz Universität Hannover, Germany. Leibinz University Hanover, Germany	Leibniz University Hannover	https://ror.org/0304hq317	DE	Germany
Leiden University	Leiden University	https://ror.org/027bh9e22	NL	Netherlands
Leiden University && Groeningen University	Leiden University	https://ror.org/027bh9e22	NL	Netherlands
Leiden University && Groningen University	Leiden University	https://ror.org/027bh9e22	NL	Netherlands
Leiden University, Netherlands	Leiden University	https://ror.org/027bh9e22	NL	Netherlands
Leuphana University Lüneburg, Germany	Leuphana University of Lüneburg	https://ror.org/02w2y2t16	DE	Germany
Leuphana University in Lüneburg, Germany	Leuphana University of Lüneburg	https://ror.org/02w2y2t16	DE	Germany
Leuphana University, Germany	Leuphana University of Lüneburg	https://ror.org/02w2y2t16	DE	Germany
Leuphana Universität Lüneburg, Germany	Leuphana University of Lüneburg	https://ror.org/02w2y2t16	DE	Germany
Leuven University, Leuven	KU Leuven	https://ror.org/05f950310	BE	Belgium
Lingnan University, Hong Kong	Lingnan University	https://ror.org/0563pg902	HK	Hong Kong
Lisbon, Portugal	University of Lisbon	https://ror.org/01c27hj86	PT	Portugal
London School of Economics	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
London School of Economics Department of Geography & Environment Houghton St, London WC2A 2AE UK	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
London School of Economics and Political Science	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
London School of Economics and Political Science && Mannheim Centre for European Social Research	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
London School of Economics and Political Science - LSE	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
London School of Economics and Political Science, Department of Government	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
London School of Economics and Political Science, London	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
London School of Economics and Political Science, London, UK	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
London School of Economics and Political Science, United Kingdom	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
London School of Economics and Political Science, United Kingdom. LSE, United Kingdom	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
