year	abstract_id	abstract_ref	abstract_title	abstract_text	abstract_presenters	abstract_topic
2020	0097	216	Co-Decision and Responsiveness: the Case of EU Social Policy	The European Union (EU) is often maligned as an undemocratic super-state. To tackle the accusations of a democratic deficit, the EU has continuously empowered its only directly elected institution: the European Parliament (EP). This empowerment culminated with the introduction of the codecision procedure, which has advanced symmetric bicameralism in the EU, making the EP a powerful co-legislator. This study asks whether codecision has also reduced the EU's democratic deficit. In particular, this study examines substantive democratic deficits, by measuring the responsiveness of EU policies to European public opinion. The article leverages text data of 75 directives and regulations in social and employment policy between 1990 and 2008 as well as post-stratification of European public opinion during the same time period. It uses a differences-in-differences approach and crowd-sourced ideological scaling of EU social and employment policies in order to causally identify the impact of the introduction of codecision on the nature of policy responsiveness in the EU.	Miriam Sorace	NA
2020	0104	813	Why do states admit refugees? A comparative analysis of resettlement policies in the OECD countries	Across the Western world, countries have restricted their refugee admission laws and stepped up their border control policies to prevent refugees from reaching their territory. At the same time, the resettlement of refugees has become increasingly popular. More states have introduced resettlement schemes, and many have raised the number of resettled individuals. Why do states decide to voluntarily admit refugees while increasing their efforts to deter asylum seekers? We explore this puzzle by investigating the determinants behind countries' decisions to admit refugees by resettlement. We argue that resettlement has an important instrumental function for liberal democracies: Resettlement preserves the humanitarian commitment of states and thereby legitimizes an ever more restricted access to asylum. The argument is tested with a comparative analysis of resettlement choices by OECD countries between 1980 and 2018. The results confirm that the opening of resettlement channels is combined with the closure of borders to prevent irregular entries. This finding bears important implications for global asylum governance and responsibility-sharing.	Lea Portmann	NA
2020	0090	253	Force structure and local peacekeeping effectiveness: Micro-level evidence from sub-Saharan Africa	In recent years, researchers have shifted their focus to studying the effects of peacekeeping in a geographically and temporally disaggregated manner. One of the factors that is yet to be fully examined is the variation among peacekeeping troops at the local level, and its impact on peacekeeping effectiveness. Specifically, peacekeeping troops greatly vary across two dimensions:\ unit types, e.g. infantry, engineering, aviation etc., and their country of origin. We argue that different unit types greatly increase peacekeepers' specialization in skills and equipment, improving peacekeeping effectiveness in reducing battle-related deaths. However, we also argue that this effect is strongly moderated by cultural diversity among troop contributing countries (TCCs), i.e. linguistic and religious distance, which exacerbates coordination problems among troops. We conduct semi-structured interviews with current and former UN peacekeepers to probe several theoretical mechanisms. We then test the propositions derived from our theoretical discussion using new subnational peacekeeping data, Geo-PKO (Cil et al. 2019). Using matching and a difference-in-difference design, our analyses on UN peacekeeping bases across Africa from 1994 to 2014 shows that force structure at the local level significantly impacts peacekeeping effectiveness.	Christoph Dworschak	NA
2020	0098	217	Arms Transfers and the Dynamics of Intervention	Why do states provide their allies with material support in the form of arms transfers in some cases but not others? I argue that arms transfers solve a critical problem arising from shaky alliance commitments. If a protege is worried that it will be abandoned by an ally in the future, it may initiate a preventive strike in the present to entrap its ally in war to capitalize on the benefits of joint military action. Thus, unstable alliances result in war because they give rise to a dynamic commitment problem. Arms transfers act as a substitute for an ally's direct support. As a result, arms reduce a protege's reliance, and soften the blow of expected abandonment. Thus, they eliminate the incentive for entrapment and result in peace. To illustrate this, I develop a formal model in which a defender, protege, and challenger interact repeatedly over time. When the defender's future commitment to the protege is certain, arms transfers are not necessary. However, when the defender's commitment is likely to wane, arms transfers may occur in equilibrium, as they prevent the protege from initiating a war of entrapment. This explanation provides insight into patterns of arms transfers that are not well explained by existing theory.	Bradley Smith	NA
2020	0105	204	Backlash of bias? Bilateral linkages and rebel attacks on peacekeepers	Peacekeeping missions put the life of peacekeepers at risk. Rebel group attacks on peacekeepers are relatively frequent, and over the past 30 years, 3,096 men and women involved in various United Nations-led missions have been killed. This article examines whether a perceived lack of impartiality of peacekeepers vis-à-vis the host government affects deliberate attacks against UN personnel of a particular country. Assuming that rebels attack peacekeepers as an intermediate strategic goal to undermine incumbent regimes, I argue that rebels are more likely to attack peacekeepers from countries with an alleged pro-government-bias. Rebels resort to this strategy as close economic and military linkages between the country contributing peacekeepers and the rebels’ home country increase strength of the government and thus decrease the rebels’ balance of power against the incumbent regime. In targeting representatives of the main supporters, i.e. peacekeepers of the supportive foreign government, rebel groups intend to weaken their home government. I test these hypotheses using a country-year sample on attacks against peacekeepers in sub-Saharan peacekeeping missions between 1991 and 2009. Zero-inflated negative binomial regression estimates provide preliminary empirical support for the role of economic linkages which is robust when controlling for mission-speciﬁc characteristics.	Katharina Pfaff	NA
2020	0110	121	Keeping electoral peace? The activities of peacekeeping operations and its effects on election violence	How can United Nations peacekeeping operations (PKOs) mitigate election violence in war-torn countries? Elections can support the transition from war to peaceful politics; but they also give rise to new uncertainties and may trigger violence. While an increasing number of PKOs is mandated to assist elections, there is no systematic study on how PKOs impact election violence. I argue that we need to distinguish between PKOs with and without election-related activities to understand the impact of their deployment on election violence. Only if PKOs actively assist with organizing and securing elections, can they address the election-specific incentives for violence. Using novel data on PKOs' election-related activities and accounting for endogeneity in both PKO deployment and activities, the analyses of 445 elections in conflict-affected countries (1990-2012) confirm this expectation. PKOs only reduce the risk of election violence if they adopt election-specific policies. This finding holds for different control variable strategies, and when accounting for election assistance by other international organizations. The results imply that the design of peacekeeping is crucial to manage political transitions from war.	Hannah Smidt	NA
2020	0112	971	Explaining and predicting interstate war deaths	Why are some wars deadlier than others? Arguments from bargaining models of war and empirical analyses of war duration suggest two mechanisms to explain how many fatalities states will be willing to suffer in a war: (1) states will fight to the extent necessary to resolve the underlying causes of war, or (2) states will fight until a purely military resolution to a conflict is reached. Empirical analysis provides limited evidence in support of these explanations. However, model predictions show that these theoretically-informed models match real-world observations fairly well. In-sample predictions capture observed war dead in up to 70% cases, and out-of-sample retrospective forecasts for two wars provide reasonable estimates.	Marius Radean	NA
2020	0078	182	Insuring Against Hunger? Long-Term Political Consequences of Exposure to the Dutch Famine	Malnutrition is one of the greatest global challenges affecting more than 900 million individuals in developing and developed countries across the world. While previous studies have established that malnutrition has serious and lasting negative consequences on individuals' health, education, and labor market outcomes, very little is known about its effects on individuals' political views later in life. This study represents an initial effort to investigate the long-term political consequences of in-utero exposure to malnutrition on demands for social insurance. To this end, we leverage the Dutch Hunger Winter of 1944/1945 as a natural experiment given its severity, suddenness, and clear temporal and spatial boundaries. We link rich administrative data to present-day public opinion data from the Netherlands. Using a difference-in-differences framework and causal mediation analysis, we examine whether in-utero exposure to famines increases individual demand for social insurance later in life.	Raluca L. Pahontu	NA
2020	0079	285	Marching on the Bastille: Political Crises and Change in the Aftermath of War	Jha and Wilkinson paper The French Revolution was pivotal for political development in much of the worldbut its causes continue to be a subject of debate. In the paper, we assess the roleplayed by military exposure in generating revolutionary contagion, documenting thedisproportionate role played by French soldiers returning from service in the AmericanRevolution in the early phases of their own. Drawing on extensive and new archival data, we showthat, consistent with historical accounts, regiments were not selected for American ser-vice based upon soldiers' heights, regimental prestige, age or other factors. However,offcers and regiments that had served in the American Revolution were more likely tosupport its French counterpart in its early, constitutional phases, both inside and out-side the Estates-General. Bailliages with more American veterans among their recruitswere 6-7 percent more likely to experience peasant rebellions in 1789-90, and more likelyto submit Third Estate Cahiers des Doleances that were """"strongly democratic"""", andsupport equality of rights, freedom of the press and loyalty to both nation and theireconomic group. These bailliages were also more likely to develop political clubs fromthe 1790s, and Jacobin clubs between 1790-92. In contrast, military recruitment perse did not have these effects. We interpret these results as consistent with the role ofmilitary veterans transmitting skills and ideas that are conducive for revolutionary political change.	Steven Wilkinson	NA
2020	0080	194	The Jewish Question: The Struggle for Emancipation and the Formation of Modern National Identities	The “canonical” literature on national identity (Gellner, Anderson, etc.) has stressed the imaginary, often strategic (and even functionalist) nature of modern national identity. After pointing to its theoretical and empirical shortcomings, I suggest that nationhood, as understood today, was linked to an emancipatory project – the construction of a “liberal” order – that was universally attractive. In those states where a “liberal” or “bourgeois” revolution succeeded, the old world of monarchical courtiers, corporate interests, and social estates disappeared, replaced by an abstract society of politically equal individuals (as defined in Cochin, Furet), and political borders became congruent with national identity. By contrast, in those states where the liberal revolution failed (or happened late in time), the preservation of spatially-defined barriers (inequalities) led to a break between the (old) center and one or more national peripheries or communities. I test the hypothesis by looking at the evolution of the political identity of Jews across American and European countries over the 19th century, complemented with a regression discontinuity design that exploits the differential political treatment of Polish and Russian Jews under Tsarism.	Carles Boix	NA
2020	0081	627	The Historical Origins of the Gender Gap in Political Representation: Persistence and Change	Women are generally underrepresented in politics. Some explanations to this phenomenon emphasize cultural legacies; others focus on political and labor market institutions to explain. We investigate the joint effect of culture and institutions on the political representation of women. To gain leverage on cultural traits, we focus on two prototypical historical family types: nuclear vs. stem families. In nuclear families, newly-weds started new households and women stayed at home, while in stem families the newly-weds stayed with in-laws, grandmothers did more housework and young females were more likely to be in paid work. As a result of female participation in the market economy, women in stem families gained bargaining power vis-à-vis men relative to women in nuclear families. Our hypothesis is that in-household gender equality shapes attitudes about women’s active participation in politics. To estimate the causal effect of family types on female political representation, we apply an instrumental-variable strategy based on medieval inheritance laws, using historical and contemporary data for Spain. Our preliminary findings show that regions with a tradition of stem families elect more female councilors in local elections than areas where nuclear families dominated. Then, we assess the role of cultural norms, labor market institutions and political institutions (in particular, the adoption of gender quotas in party lists) in the evolution of the gender gap between regions with different historical family types during the democratic period (1977-2015). To conclude, we discuss the implications of our findings for theories of cultural persistence and change.	Aina Gallego	NA
2020	0082	191	The historical origin of tolerance	This paper analyzes the long-term historical consequences of religious conflict that occurred during the period between the Augsburg Treaty (1555) and the Westphalian Peace (1648). We show that religiously divided communities that experienced the Catholic counter-reform faced relatively stronger demand for legal mechanisms of conflict resolution and developed distinct institutions of inter-religious mediation. We demonstrate that the creation of these institutions and the legalization of the religious conflict has a persistent effect to the present: citizens in localities that experienced counter-reform have a higher tolerance today. We document the persistent effects across a variety of survey-based and behavioral measures of tolerance.	Isabela Mares	NA
2020	0005	562	Hardwired to go negative. A comparative assessment of candidates’ personality traits and campaign tone in six European countries	A growing body of studies shows that the reasons for competing candidates to “go negative” on their opponents during elections - that is, attacking their opponents instead of promoting their own programs or ideas - are a function of their ideological profile, competitive standings, and the nature of the electoral race. Yet, existing research has, at this stage, failed to assess to what extent candidates’ character traits also play a role. To take an obvious example, it seems natural to imagine that candidates as opposite as the bombastically extroverted Donald Trump and the shier, yet punctilious Angela Merkel do not campaign in quite the same way. Indeed, character traits have been shown to be powerful drivers of political attitudes and behaviors in both the public at large and elected officials. In this article, we bridge the gap between existing work in political psychology and political communication and study to what extent the personality traits of competing candidates are linked with their use of negative campaigning strategies. We rely on candidate surveys in six European countries: Germany, Switzerland, Finland, Greece, Portugal, and Belgium. Data includes candidates’ self-assessment of the “Big Five” personality traits (extraversion, agreeableness, conscientiousness, emotional stability, openness) as well as self-reported measures of their campaign tone during the last national election. Controlling for the usual suspects driving negative campaigning strategies at the candidate level, we expect that a negative tone is more likely for candidates scoring low in agreeableness, conscientiousness, and emotional stability, but high in extraversion.	Anke Tresch	NA
2020	0015	354	Trusting and sharing fake sources: Who is susceptible to convenient facts?	The increasing spread of misinformation (""""fake news"""") represents one of the great challenges digital societies are facing today. One aspect of this phenomenon is that misinformation often comes from unknown sources that conjure the impression of professionalism. Little is known about the individual characteristics underlying susceptibility to such fraudulent sources. We use data from an original survey experiment that tests the role of sources (known vs. unknown), channels (Facebook vs. website) and content (congruent vs. incongruent) on people's beliefs and sharing of information. We investigate which groups are most susceptible, first, to the source effect, that is, the tendency to believe and share information more from a known than from an unknown source; and second, which groups are more likely to believe and share from a source that has previously provided them congruent information. We apply recently developed machine learning methods based on random forests (Wager and Athey 2018) to tease out heterogenous treatment effects over a wide range of covariates. We find strong heterogeneity on some variables (e.g. age, vote choice, education), but less on others (e.g gender).	Bernhard Clemm von Hohenberg	NA
2020	0024	1120	Multimodal determinants of voter impression formation of female political candidates during televised debates	Are women political candidates penalized by voters for displaying emotion during televised debates? At present, the relationship between candidate gender, nonverbal communication, and voter impressions during debates is significantly understudied. We still lack a general understanding of how gender may moderate the influence of agonistic (competitive) and hedonic (bonding) displays by televised debate participants on evaluations of candidates by voters. In this study, we ask to what extent counterstereotypic gender behavior among political elites during televised debates influences real-time voter impressions of political candidates. We conceptualize emotive signaling as occurring through three different channels: nonverbal (facial displays of emotion), vocal (speech pitch), and verbal (sentiment of speech). Using four full-length debate videos from three German federal elections (2017, 2013, 2009), we employ computer vision, machine learning, text analytic, and statistical methods to automatically extract second-by-second measurements of political candidates' facial displays of emotion, vocal pitch, and speech sentiment. After validating our computational approach, we combine second-by-second emotions data with continuous response measures of support for candidates recorded by live audiences, which have been collected by the German Longitudinal Election Study. Controlling for viewer political attitudes and demographic characteristics, we examine whether multimodal emotive displays by female candidates during televised debates influence real-time levels of support from the viewing public.	Constantine Boussalis	NA
2020	0032	291	Who Sets the Agenda? Comparing Issue Emphasis by Parties, Traditional Media, and Social Media	Do political parties react to coverage of politically salient events in traditional media and social media, or do parties set the media agenda? Surprisingly, research on the agenda-setting power of parties and the media remains scarce and inconclusive. Only few studies analyze whether and to what degree parties respond to changes in media issue coverage or whether parties can set the issue agenda in the news. However, the answer to this question is fundamental to understand parties' responsiveness and changes in the issues they focus on. We compare issue salience in the traditional media, social media, and agenda setting by political actors by applying an extensively validated supervised machine-learning classifier to about 400,000 articles published in 84 Swiss newspapers in 2018 and 2019, 350,000 tweets on Swiss politics posted in 2019, as well as all press releases by Swiss parties in this period. We use these data and methods to test whether parties communicating on a specific issue are more likely to influence media and social media coverage on this topic. Specifically, we focus on climate policy and women's rights, two issues that emerged prominently on the Swiss political agenda during our observation period, and which were widely perceived to prompt some parties to redefine their positions facing the national elections in 2019. The findings have important implications for the literature on social media, party competition, responsiveness, salience, and issue ownership.	Fabrizio Gilardi, Stefan Müller	NA
2020	0040	418	What Should We Be Allowed to Post? Citizens’ Preferences for Online Hate Speech Regulation	In the age of social media, the questions of what is allowed to say and how hate speech should be regulated are ever more contested. We hypothesize that content- and context-specific factors influence citizens’ perceptions of the offensiveness of online content, and also shape preferences for action that should be taken. This has implications for the legitimacy of hate speech regulation. We present a pre-registered study to analyze citizens’ preferences for online hate speech regulation. The study is embedded in nationally representative online panels in the US and Germany (about 1,300 respondents, opt-in panels operated by YouGov). We construct vignettes in forms of social media posts that vary along key dimensions of hate speech regulation, such as sender/target characteristics (e.g., gender and ethnicity), message content, and target’s reaction (e.g., counter-aggression or blocking/reporting). Respondents are asked to judge the posts with regards to their offensiveness and consequences the sender should face. Furthermore, the vignette task is embedded in a framing experiment, motivating it by (a) looming government regulation protecting potential victims of hate speech, (b) civil rights groups advocating against censorship online, or (c) a neutral frame. While governments around the world are acting towards regulating hate speech, little is known about what is deemed acceptable or inacceptable speech online in different parts of the population and societal contexts. We provide first evidence that could inform future debates on hate speech regulation.	Simon Munzert	NA
2020	0008	360	Party System Institutionalization and Economic Voting: Evidence from India	It is well established that countries' institutional features can weaken economic voting by diffusing responsibility for policy outcomes. We argue that local-level party system institutionalization similarly mediates the link between the economy and vote choice. We focus on one dimension of party system institutionalization: the strength of party-candidate linkages in elections, measured by manually tracing the rerunning patterns of some 80,000 candidates in Indian state elections 1986-2007. Using rerunning patterns to measure party-candidate linkages and rainfall data to measure the state of the economy, we show that voters are more likely to reward incumbent parties for economic performance when parties and candidates are aligned in consecutive elections. We address concerns of endogeneity in rerunning patterns by showing that the results are robust to alternate measures of local-level party system institutionalization. They are also robust to alternative measures of the state of the economy, and using individual-level survey data.	Pavithra Suryanarayan	NA
2020	0018	1665	FROM THE BRADY BUNCH TO GILMORE GIRLS: THE EFFECT OF HOUSEHOLD SIZE ON ECONOMIC VOTING	This article examines how household structure affects evaluations of personal economic conditions. We argue that moderate or mid-range responses when individuals are asked about their personal financial situation are more likely in multi-person households than in one-person households. Using data from the American National Election Studies from 1966 to 2016, we find that personal financial experiences are a very good heuristic for the assessment of national economic conditions. More importantly, we show that personal economic experiences are endogenous to household size. The aggregation of personal economic evaluations within households reduces the variation across household members, and therefore it is harder for an individual to say that her personal financial situation is good or bad in multi-person households. The main implication of our analysis is that economic voting in advanced societies is expected to be stronger in one-person households and over time, given the downward trend in the average number of household members.	Ignacio Lago	NA
2020	0027	74	Political participation and citizen-government congruence beyond the left-right policy dimension	A central feature of democratic governance is that government policies should represent the expressed will of the people. Prior research shows that electoral participation is crucial to realizing such congruence, at least in terms of a left-right policy ideological dimension. We expand the theoretical and empirical lens of inquiry to address two important challenges. First, in an era in which voting and institutionalized participation have stagnated or declined, we conduct a broader investigation that includes both electoral and non-electoral participation. Second, in recognition of the increased salience of policy dimensions beyond the left-right policy axis, we investigate citizen-government congruence for multiple policy dimensions. The study builds on recent research by Stecker and Tausendpfund (2016) to integrate data on citizens’ policy preferences and political behavior from the European Social Survey (2008 & 2012) with the 2010 Chapel Hill Expert Survey’s data on European party positions (e.g., European integration, redistribution, social lifestyle, immigration, environment). Preliminary findings indicate that both electoral and non-electoral participation enhance congruence for several policy issues, thereby opening new lines of inquiry for the study of citizen-government congruence	Jennifer Oser	NA
2020	0036	1615	Economic Voting and the Role of Manufacturing in Presidential Voting in United States 2008, 2012, and 2016	We examine the role of manufacturing in presidential primary and general elections from 2000 throurgh 2016. We use a multi-method approach including county level data from the 2008, 2012, and 2016 elections and micro level data from those same elections using the Cooperative Congressional Election Studies (CCES). We find strong evidence in the macro level data that a decline in the manufacturing sector had a significant positive effect on support for Trump in the general election, support for Sanders in the primary, and support for then Senator Obama in the 2008 primary. We include in our models alternative economic explanations including change in unemployement and change in median income as well as standard controls for education, age and ethnicity. We corroborate the robustness of these findings with individual level vote choice analyses of data from the CCES, which finds consistent evidence for micro level economic voting as well. We discuss the implications for understanding the effects of the economy on vote choice, and how elite rhetoric and voter sensitivity to the local economic environment influences vote decisions.	Lonna Atkeson	NA
2020	0002	105	Female Empowerment, Technological Change, and Economic Growth	Existing arguments on political institutions and economic development have mainly focused on how institutions should influence development via capital investments. Yet, growth economists propose that technological change is the main driver of long-term growth. In this paper, we thus build a theoretical argument focusing on institutional features that should affect technological change, and that may do so through a) increasing the number and variability of new ideas introduced in the economy and b) improving the efficiency with which the best, new ideas are adopted. More specifically, we highlight that institutions and guarantees of rights that promote gender equality and female empowerment should improve on both the variability and selection of new ideas, and thus promote long-term economic growth. We test various implications of this argument using extensive data from the Varieties of Democracy (V-Dem project) to measure variation in gender equality and female political empowerment, including civil liberties protection, political inclusion of women and female participation in civil society. Drawing on information from across 183 countries and 225 years we find robust evidence that female empowerment is positively related to subsequent economic growth, even when accounting for initial differences in economic development, democracy levels, and country-fixed effects. The relationship is retained across different contexts, but is stronger for “Non-Western” than “Western” countries. When disaggregating the sources of economic growth, we find clear evidence, in line with our argument, that female empowerment enhances productivity growth, a proxy for technological change.	Carl Henrik Knutsen	NA
2020	0011	595	Don’t you dare touch my wallet! Protest against austerity during the Great Recession	In response to the recent economic crisis in Europe, governments across Europe implemented austerity. An influential view claims that austerity does not entail significant political risk. But this research , solely focusing on elections, misses an equally important form of resistance, i.e. protest in the streets. I test the impact of austerity announcements by studying the protest level during the Great Recession. I assemble a novel time series cross-sectional data-set for monthly public economic protest and policy decisions from fiften European countries and treat austerity packages as intervention variables to the underlying monthly protest series. Applying advanced time series methods, my main empirical contributions are twofold: first, I show that austerity do drive people to the street; second, I demonstrate that the magnitude of this impact and its temporal dynamics are contingent on the political and economic context. Under certain conditions, the short term and long-term impact of austerity is dramatic: in instances of rising magnitude of both objective and subjective economic grievances, lower political capital of the government, the proximity of elections, and the involvement of external creditors, the impact of austerity is much larger.	Chendi Wang	NA
2020	0020	1464	Issue Proximity, Power and Interest Group-Party Lobby Routines	This paper develops and tests a theory to explain the routine lobbying of political parties by interest groups on policy issues that they are most active upon. The standard explanation for group/party interactions offered by the ‘friends and foe’ literature is based on ideological congruence, with more recent work highlighting the role of relative party power. This paper advances this understanding by explaining how the impact of ideology on the presence of a lobby routine is conditional on power and policy area. Our results help us understand how power and ideology shape the interaction between interest groups and parties, and ultimately shape policy making, in particular issue areas. We examine interest group lobby routines in different policy domains using a unique survey of representative samples of interest groups across seven democracies, finding support for our predictions.	Simon Otjes	NA
2020	0029	288	The Collaboration of Women in European Parliaments	Researchers of women's representation need to explicitly establish the link between descriptive and substantive representation rather than assume that the mere increase in women in politics leads to substantial changes in political outcomes. Collaboration of women in parliaments is one way through which descriptive representation of women translates into substantive representation. I expand the analysis of bill cosponsorship that has been conducted in the United States (e.g. Bratton and Rouse, 2011) and Argentina (Barnes, 2016) to European countries. I use a unique dataset of cosponsorship data scraped from the archives of several European parliaments including Italy, Sweden, Hungary, Belgium and the Czech Republic, taking advantage of the broad range of electoral systems, quota regimes and levels of women’s representation present in these countries. The results show that women are more likely to collaborate with other women in situations when they are marginalised in the legislature, while men begin to collaborate with women at higher levels once women achieve a substantial share of the seats in parliament. Most importantly, the electoral system has a different effect on collaboration for male and female politicians: While men are more likely to collaborate with women in systems featuring single member districts, women are more likely to collaborate with each other in mixed systems. These results show how the institutional setting of a parliament influences the strategies female politicians can use to represent female voters.	Jens Wäckerle	NA
2020	0037	206	High Conflict and Low Salience as Issue Drivers of Corporate Lobbying: An Elite Survey Experiment	This paper argues that a high degree of conflict and a low degree of salience on an issue drives corporations to lobby alone rather than via a business association. These arguments are important as when corporations lobby alone instead of through a business association, they enjoy both the advantaged position that business interests have compared to other organized interests and are able to mobilize quicker compared to when lobbying via a business association. This could lead to more fragmented pressure systems. What is more, when corporations go alone as a result of conflict with the business association, they tend to focus on issues that are more self-oriented and less moderate. When lobbying on low salience issues, the scope of the issue tends to be smaller, meaning that corporations have more leeway in getting their way. Previous research has addressed drivers at organizational, sector and structural level. This paper adds an issue perspective to above explanations. The two arguments are as follows: corporations are more inclined to lobby alone on 1) low salience issues compared to high salience issues in order to decrease visibility so that the odds of facing public scrutiny are kept at a minimum, 2) when levels of conflict between the corporation and business association on an issue increase as the corporation is less content with the business association and therefore seeks other modes of interest representation such as going alone. The arguments are tested on a 2x2 survey experiment among corporate lobbyists in Germany and the Netherlands.	Ellis Aizenberg	NA
2020	0114	1066	Do Constitutional Courts write their opinions differently under public scrutiny? Applying NLP methods to uncover argument structure in judicial texts	How does public scrutiny affect the opinion-formation of highest courts? Established scholarship shows that public opinion impacts the outcome of judicial decision-making. However, while the focus rests with outcomes of decisions, the impact of public scrutiny on the whole opinion-formation remains puzzling. This is why I present a novel approach to assess the causal effects of public scrutiny on opinion writing and the quality of decisions taking judicial opinion-formation serious. In particular, I introduce the analyses of argumentation structures from natural language processing to judicial politics. The written decisions of courts are segmented into internally coherent argumentative units which constitute the opinion formation of the court. For each segment I assess the deliberative and argumentative quality of the court’s ruling based on length, complexity, use of precedence and similarity to written briefs. I argue that oral hearings increase public attention and moderate the interaction of judges, petitioners, political and societal actors participating in hearings. The broader attention introduced by oral hearings incentivises judges to improve the deliberative quality of written opinions. Thus I expect courts to argue each point of the discussion in more detail, making use of more precedence cases and literature to support their argument and addressing briefs more closely. To test my argument, I apply my approach to the whole text of decisions published by the German Federal Constitutional Court between 1972 to 2019. The court is a role-model for many highest courts with constitutional review powers and hearings are a common feature of court’s decision-making.	David M. Grundmanns	NA
2020	0120	777	Doing no harm? A systematic review of ethical challenges and safeguards for researchers “in field”	Implementing field research projects in the Global South is characterised by a range of ethical complexities. While literature has identified ethical challenges pertaining to study participants, we argue that the principle of “do no harm” should equally apply to research staff. We conduct a systematic review to identify the key ethical challenges that affect research staff at different hierarchical levels and world regions. We searched twelve social sciences databases, screened a total of 19700 titles and abstracts, and found 165 eligible primary studies from which we extracted detailed data. Identified ethical challenges included (i) security risks, (ii) emotional burden and secondary trauma, (iii) power imbalances between team members from the Global North and Global South, (iv) inadequate acknowledgment of local contributions, and (v) precarious working conditions. Highlighted alleviation strategies included (i) external psychological support, (ii) close supervisor-supervisee relationships, (iii) adaptations of funding policies, and (iv) building of insitutional support mechanisms. The research community needs to engage in a constructive discussion of which “best practices” could further enhance the ethical integrity of field research projects in the Global South.	Janina Steinert	NA
2020	0126	1045	Designing Surveys to Account for Non-Ignorable Non-Response	Non-response is a large and growing problem in survey research. Weighting addresses non-response associated with measured variables, but may exacerbate non-response bias associated with unmeasured factors. Selection models correct for non-response related to measured and unmeasured factors, but often prove unreliable for conventional survey data when no variable can credibly be assumed to affect response but not the outcome of interest. This paper presents survey techniques that generate the information needed to make selection models function properly. First, by randomly treating potential respondents with questions that affect response propensity, we produce a variable that explains response, but does not affect outcome variables directly. Second, by eliciting behavioral willingness to respond to political questions independent of the content of response, we can directly assess the relationship between response willingness and outcomes. Results from surveys using these tools demonstrate their simplicity and potential for identifying substantial non-response bias, especially among partisan subsamples.	Michael Bailey	NA
2020	0132	1183	When Do People Delegate Decisions to Experts? Evidence from Conjoint Experiments across Europe.	Scientific knowledge and sector expertise is the backbone good policy, which can yield good governance outcomes. Nevertheless, very little is known about citizen views of experts and expertise in political decision-making. Do citizens welcome experts? Do certain policy issues boost citizens' approval for expert involvement? And what precise role do citizens envision for experts in the policy-making and decision-making processes? The paper addresses these questions using a novel battery of survey data and a conjoint experiment about expert involvement in politics. It finds that independent experts are preferred relative to elected politicians in the designing and implementation phases of policy-making. For the decision-making stage, decisions made directly by the citizens through referenda is preferred, but the elected representatives and independent experts are evaluated equally and this holds for a variety of technically complex and social issues. The paper discusses the implications of these findings for the current role of representatives in democracies and the demands for more technocratic and participatory processes.	Eri Bertsou	NA
2020	0115	1680	Positive Spillovers from Negative Campaigning	Negative advertising is frequent in electoral campaigns, despite its ambiguous effectiveness: negativity may reduce voters' evaluation of the targeted politician but have a backlash effect for the attacker. We study the effect of negative advertising in electoral races with more than two candidates with a large scale field experiment during an electoral campaign for mayor in Italy and a survey experiment in a fictitious mayoral campaign. In our field experiment, we find a strong, positive spillover effect on the third main candidate (neither the target nor the attacker). This effect is confirmed in our survey experiment, which creates a controlled environment with no ideological components nor strategic voting. The negative ad has no impact on the targeted incumbent, has a sizable backlash effect on the attacker, and largely benefits the idle candidate. The attacker is perceived as less cooperative, less likely to lead a successful government, and more ideologically extreme.	vincenzo galasso	NA
2020	0121	1118	Visual Messaging Modes and Their Impacts on British Attitudes Towards Economic Dimensions of Immigration	Despite the proliferation of visual ways of communicating political information, less work has explicitly tested for the impacts of multimodal messages. Establishing the impact of these messages is particularly salient given growing efforts (and concerns) about the roles of messengers in politics through campaigns or fact-checking on digital platforms that often prioritise visual components. We provide descriptive evidence examining whether factual information about the economic impacts of immigration on the UK matters for a variety of British immigration attitudes and policy preferences. Using a survey experiment (N=3,889 UK-based respondents), we provided identical economic information as a text-only treatment, as a series of three charts accompanied by the same text, and as an infographic video accompanied by a narrator reading the text. All three messaging modes reduced negative immigration attitudes (even when looking at Leave and Remain subgroups). We also find suggestive evidence that, at the aggregate level, charts were marginally more effective than video at changing policy preferences. We conclude by pointing out that further research exploring differences among visual modes is warranted, and—importantly for testing theories of affective polarisation—the treatments (which presented positive arguments) did not ‘backfire’ to produce more negative attitudes.	William Allen	NA
